"request_id","account_id","timestamp","department_code","campus_code","fund_account","fund_name","duration","budget_title","description","proposed_budget","approved_budget","status","academic_year","current_approval_level","total_approval_levels","workflow_complete"
"BAGCED2025002","1","2025-02-04 11:20:00","BAGCED","11","BAGCED-FUND-002","BAGCED Training Fund","Quarterly","Teacher Training","Professional development for educators","61000.00",,"rejected","2025-2026","2","3","1"
"BR-20250901-1C38C","1","2025-09-01 16:09:06","CCS","11","62000701","Test","Annually","budget test","testing again","1232323.00",,"approved","2025-2026","3","3","1"
"CCS2025001","1","2025-01-15 09:00:00","CCS","11","CCS-FUND-001","Computer Studies Research Fund","Annually","Laboratory Equipment","New computers and networking equipment for labs","85000.00",,"approved","2025-2026","3","3","1"
"CCS2025002","1","2025-01-20 10:00:00","CCS","11","CCS-FUND-002","CCS Software Fund","Quarterly","Software Licenses","Development tools and software licenses","65000.00",,"approved","2025-2026","3","3","1"
"CCS2025003","1","2025-02-01 11:00:00","CCS","11","CCS-FUND-003","CCS Operations Fund","Monthly","Server Infrastructure","Server upgrade and maintenance","90000.00",,"pending","2025-2026","2","3","0"
"CLA2025001","1","2025-01-12 08:30:00","CLA","11","CLA-FUND-001","Liberal Arts Culture Fund","Annually","Cultural Events","Art exhibitions and cultural programs","45000.00",,"approved","2025-2026","3","3","1"
"CLA2025002","1","2025-01-25 14:00:00","CLA","11","CLA-FUND-002","CLA Research Fund","Quarterly","Research Materials","Books and research resources","75000.00",,"rejected","2025-2026","2","3","1"
"CLA2025003","1","2025-02-05 16:30:00","CLA","11","CLA-FUND-003","CLA Development Fund","Monthly","Faculty Development","Training and workshops for faculty","38000.00",,"approved","2025-2026","3","3","1"
"COB2025001","1","2025-01-18 10:15:00","COB","11","COB-FUND-001","Business Excellence Fund","Annually","Business Lab Upgrade","Trading simulation and business analysis tools","95000.00",,"approved","2025-2026","3","3","1"
"COB2025002","1","2025-02-03 09:45:00","COB","11","COB-FUND-002","COB Training Fund","Quarterly","Executive Programs","Business executive training programs","72000.00",,"approved","2025-2026","3","3","1"
"COB2025003","1","2025-02-08 13:20:00","COB","11","COB-FUND-003","COB Research Fund","Monthly","Market Research","Business intelligence and market analysis tools","56000.00",,"pending","2025-2026","1","3","0"
"COL2025001","1","2025-01-30 15:45:00","COL","11","COL-FUND-001","Law Library Fund","Annually","Legal Databases","Online legal research databases and resources","74000.00",,"rejected","2025-2026","1","3","1"
"COS2025001","1","2025-01-16 12:00:00","COS","11","COS-FUND-001","Science Research Fund","Annually","Laboratory Chemicals","Chemical reagents and scientific supplies","110000.00",,"approved","2025-2026","3","3","1"
"COS2025002","1","2025-02-07 10:30:00","COS","11","COS-FUND-002","COS Equipment Fund","Quarterly","Scientific Instruments","Microscopes and analytical instruments","79000.00",,"approved","2025-2026","3","3","1"
"GCOE2025001","1","2025-01-22 11:30:00","GCOE","11","GCOE-FUND-001","Engineering Excellence Fund","Annually","Laboratory Equipment","Advanced engineering laboratory equipment","120000.00",,"approved","2025-2026","3","3","1"
"GCOE2025002","1","2025-02-10 15:00:00","GCOE","11","GCOE-FUND-002","GCOE Innovation Fund","Quarterly","Research Projects","Engineering research and innovation projects","88000.00",,"approved","2025-2026","3","3","1"
"GSB2025001","1","2025-01-24 10:50:00","GSB","11","GSB-FUND-001","Graduate Business Fund","Annually","Executive Education","Executive MBA and graduate programs enhancement","115000.00",,"approved","2025-2026","3","3","1"
"GSB2025002","1","2025-02-11 14:25:00","GSB","11","GSB-FUND-002","GSB Innovation Fund","Quarterly","Business Innovation","Innovation labs and entrepreneurship programs","87000.00",,"approved","2025-2026","3","3","1"
"IGSP2025001","1","2025-02-02 11:00:00","IGSP","11","IGSP-FUND-001","Strategic Policy Fund","Annually","Policy Analysis","Strategic policy research and analysis tools","69000.00",,"approved","2025-2026","3","3","1"
"IGSP2025002","1","2025-09-03 15:52:16","IGSP","11","IGSP-FUND-002","IGSP Development Fund","Quarterly","Governance Tools","Governance analysis and strategic planning tools update test","81000.00",,"pending","2025-2026","2","3","0"
"JMRIG2025001","1","2025-01-26 09:15:00","JMRIG","11","JMRIG-FUND-001","Governance Research Fund","Annually","Policy Research","Governance and policy research projects","98000.00",,"approved","2025-2026","3","3","1"
"JMRIG2025002","1","2025-02-09 12:40:00","JMRIG","11","JMRIG-FUND-002","JMRIG Training Fund","Quarterly","Leadership Programs","Governance and leadership training programs","63000.00",,"approved","2025-2026","3","3","1"
"SOE2025001","1","2025-01-28 14:45:00","SOE","11","SOE-FUND-001","Economics Research Fund","Annually","Economic Analysis Tools","Statistical software and economic databases","52000.00",,"approved","2025-2026","3","3","1"
"SOE2025002","1","2025-02-12 16:15:00","SOE","11","SOE-FUND-002","SOE Development Fund","Quarterly","Policy Research","Economic policy research and analysis","67000.00",,"rejected","2025-2026","1","3","1"
